timestamp,power
1750019035830,31.86
1750019036257,30.75
1750019036348,30.65
1750019036757,30.49
1750019036852,30.62
1750019037263,31.23
1750019037355,31.15
1750019037766,31.03
1750019037858,31.03
1750019038270,30.96
1750019038361,30.96
1750019038774,30.78
1750019038865,30.67
1750019039276,30.42
1750019039368,30.45
1750019039778,30.44
1750019039872,30.47
1750019040283,30.50
1750019040372,30.25
1750019040772,30.08
1750019041273,23.12
1750019041776,23.98
1750019042280,23.54
1750019042783,23.85
1750019043286,23.85
1750019043790,24.37
1750019044294,25.58
1750019044797,26.34
1750019045350,26.43
1750019045827,31.35
1750019046553,30.70
1750019047280,30.13
1750019047587,29.94
1750019047875,28.36
