timestamp,power
1749762054328,21.56
1749762054825,22.54
1749762055328,23.56
1749762055830,25.53
1749762056333,23.52
1749762056836,23.71
1749762057339,23.31
1749762057844,24.62
1749762058344,23.92
1749762058846,23.63
1749762059351,23.31
1749762059855,23.58
1749762060356,24.06
1749762060862,23.58
1749762061363,25.64
1749762061866,24.58
1749762062368,24.71
1749762062871,23.75
1749762063375,24.10
1749762063878,23.88
1749762064381,24.28
1749762064884,23.85
1749762065387,24.32
1749762065890,24.94
1749762066392,27.05
1749762066897,27.97
1749762067398,25.25
1749762067901,24.10
1749762068404,24.56
1749762068908,24.04
1749762069410,24.28
1749762069914,25.15
1749762070419,25.18
1749762070920,24.95
1749762071426,24.32
1749762071925,26.26
1749762072428,24.31
1749762072931,24.49
1749762073434,24.19
1749762073937,25.44
1749762074440,24.40
1749762074943,25.38
1749762075446,24.54
1749762075949,24.65
1749762076452,24.47
1749762076954,26.57
1749762077457,24.23
1749762077961,26.22
1749762078463,24.63
1749762078966,24.80
1749762079469,26.15
1749762079972,25.46
1749762080475,24.77
1749762080978,24.64
1749762081481,24.55
1749762081988,25.63
1749762082487,27.56
1749762082990,24.55
1749762083492,24.92
1749762083996,24.45
1749762084499,24.76
1749762085003,24.56
1749762085506,25.01
1749762086009,26.00
1749762086511,26.11
1749762087014,24.61
1749762087517,26.97
1749762088021,24.76
1749762088523,25.30
1749762089025,24.69
1749762089528,24.96
1749762090032,25.81
1749762090535,26.40
1749762091038,25.00
1749762091541,25.01
1749762092044,24.87
1749762092549,25.49
1749762093049,26.43
1749762093554,24.72
1749762094055,26.35
1749762094557,24.89
1749762095061,26.19
1749762095564,25.07
1749762096067,25.28
1749762096570,25.07
1749762097075,25.66
1749762097576,25.91
1749762098080,28.44
1749762098584,27.98
1749762099087,25.40
1749762099589,24.90
1749762100092,25.17
1749762100597,25.21
1749762101098,25.61
1749762101601,24.89
1749762102105,26.47
1749762102607,26.21
1749762103112,25.80
1749762103613,26.24
1749762104117,25.08
1749762104619,25.10
1749762105121,24.85
1749762105623,25.24
1749762106127,26.07
1749762106630,26.46
1749762107134,24.99
1749762107636,25.19
1749762108139,24.81
1749762108642,27.15
1749762109145,24.92
1749762109648,25.39
1749762110153,26.20
1749762110654,26.71
1749762111158,24.93
1749762111661,25.22
1749762112164,24.78
1749762112667,25.28
1749762113170,26.14
1749762113673,26.75
1749762114176,26.75
1749762114679,25.32
1749762115185,26.48
1749762115685,25.17
1749762116187,25.16
1749762116693,25.04
1749762117194,25.13
1749762117698,24.82
1749762118200,25.05
1749762118703,26.91
1749762119209,27.23
1749762119711,25.12
1749762120213,25.68
1749762120716,25.09
1749762121221,25.09
1749762121722,24.94
1749762122230,25.19
1749762122732,26.30
1749762123236,25.15
1749762123739,24.91
1749762124238,27.44
1749762124743,25.20
1749762125246,25.49
1749762125751,25.12
1749762126256,25.19
1749762126757,26.43
1749762127259,26.38
1749762127764,25.20
1749762128266,24.95
1749762128769,25.17
1749762129272,24.97
1749762129775,26.84
1749762130282,25.32
1749762130781,26.94
1749762131282,26.31
1749762131785,25.24
1749762132289,25.01
1749762132791,25.17
1749762133293,24.91
1749762133797,25.20
1749762134303,24.94
1749762134803,28.84
1749762135305,26.77
1749762135810,25.23
1749762136314,25.19
1749762136817,25.33
1749762137318,24.88
1749762137821,25.25
1749762138327,25.00
1749762138826,27.61
1749762139329,25.49
1749762139831,25.06
1749762140334,27.24
1749762140834,25.16
1749762141339,25.47
1749762141841,25.09
1749762142348,25.27
1749762142847,28.06
1749762143348,25.24
1749762143851,25.02
1749762144353,25.25
1749762144855,25.22
1749762145358,27.69
1749762145860,25.15
1749762146366,25.47
1749762146866,26.67
1749762147366,26.62
1749762147869,25.04
1749762148373,25.30
1749762148874,25.20
1749762149377,25.12
1749762149879,25.15
1749762150391,25.28
1749762150884,28.29
1749762151386,26.70
1749762151888,25.20
1749762152390,25.15
1749762152892,25.33
1749762153395,24.95
1749762153897,25.24
1749762154404,25.02
1749762154902,26.75
1749762155404,26.96
1749762155907,27.59
1749762156409,25.05
1749762156911,25.62
1749762157415,25.07
1749762157915,25.34
1749762158424,25.00
1749762158921,30.05
1749762159424,25.27
1749762159927,25.41
1749762160428,25.28
1749762160933,25.80
1749762161432,26.68
1749762161938,25.12
1749762162440,25.35
1749762162939,28.31
1749762163441,25.31
1749762163943,25.19
1749762164446,25.25
1749762164948,25.18
1749762165451,25.52
1749762165952,25.25
1749762166459,27.20
1749762166960,26.72
1749762167459,26.66
1749762167962,25.09
1749762168464,25.39
1749762168966,25.41
1749762169468,25.32
1749762169971,25.14
1749762170477,25.41
1749762170974,27.30
1749762171481,27.95
1749762171979,25.94
1749762172482,26.05
1749762172983,25.26
1749762173488,25.51
1749762173988,25.21
1749762174495,24.86
1749762174992,26.87
1749762175495,26.98
1749762175997,25.23
1749762176499,25.08
1749762177001,27.35
1749762177502,25.21
1749762178004,25.31
1749762178510,24.91
1749762179010,28.05
1749762179511,25.05
1749762180015,25.16
1749762180517,25.35
1749762181018,25.19
1749762181520,24.90
1749762182026,26.73
1749762182530,25.60
1749762183029,28.64
1749762183530,25.09
1749762184035,25.13
1749762184535,25.13
1749762185039,25.06
1749762185539,25.39
1749762186042,25.04
1749762186549,25.09
1749762187050,26.75
1749762187550,28.64
1749762188051,25.02
1749762188553,25.21
1749762189055,25.10
1749762189557,25.52
1749762190059,25.03
1749762190566,25.32
1749762191064,26.95
1749762191566,26.62
1749762192068,24.96
1749762192571,27.35
1749762193073,25.07
1749762193576,25.46
1749762194078,24.91
1749762194585,25.15
1749762195082,26.57
1749762195586,27.01
1749762196088,25.12
1749762196591,24.96
1749762197092,25.24
1749762197594,25.01
1749762198096,26.96
1749762198603,25.01
1749762199101,28.35
1749762199603,24.98
1749762200105,25.26
1749762200608,25.25
1749762201109,25.32
1749762201611,24.88
1749762202113,25.12
1749762202619,24.80
1749762203119,30.83
1749762203620,25.05
1749762204124,25.27
1749762204627,25.05
1749762205128,25.21
1749762205631,25.12
1749762206133,25.14
1749762206641,24.95
1749762207141,26.80
1749762207640,26.89
1749762208142,24.98
1749762208644,27.17
1749762209146,25.18
1749762209648,25.13
1749762210150,24.95
1749762210657,25.30
1749762211155,26.68
1749762211658,26.82
1749762212159,24.88
1749762212662,25.30
1749762213163,25.16
1749762213666,27.37
1749762214169,25.01
1749762214675,25.46
1749762215175,26.72
1749762215676,27.20
1749762216177,25.00
1749762216681,25.28
1749762217182,25.10
1749762217684,25.29
1749762218188,24.94
1749762218709,25.36
1749762219193,31.54
1749762219695,25.17
1749762220201,25.35
1749762220699,25.48
1749762221203,26.46
1749762221705,25.59
1749762222207,28.33
1749762222714,25.51
1749762223212,29.16
1749762223715,25.29
1749762224217,27.49
1749762224719,25.00
1749762225219,25.80
1749762225722,25.17
1749762226224,25.06
1749762226732,25.11
1749762227232,27.51
1749762227730,26.83
1749762228233,25.44
1749762228736,25.14
1749762229239,27.57
1749762229740,25.20
1749762230245,25.61
1749762230748,25.26
1749762231248,27.11
1749762231751,26.94
1749762232254,25.41
1749762232755,28.10
1749762233258,28.55
1749762233759,25.45
1749762234262,25.22
1749762234768,27.34
1749762235266,27.40
