timestamp,power
1749761866130,24.75
1749761866631,25.90
1749761867134,23.59
1749761867637,23.98
1749761868139,23.63
1749761868641,23.73
1749761869145,23.61
1749761869650,24.92
1749761870152,23.76
1749761870654,23.88
1749761871157,23.80
1749761871660,23.74
1749761872163,27.62
1749761872665,24.14
1749761873168,24.72
1749761873671,24.81
1749761874174,24.98
1749761874677,24.01
1749761875182,24.43
1749761875684,24.36
1749761876186,24.26
1749761876689,24.19
1749761877192,26.45
1749761877696,25.12
1749761878198,25.28
1749761878701,24.22
1749761879205,24.72
1749761879707,24.42
1749761880210,24.93
1749761880713,25.02
1749761881216,24.74
1749761881720,25.43
1749761882230,25.56
1749761882725,26.53
1749761883232,24.66
1749761883732,24.96
1749761884235,24.57
1749761884738,24.71
1749761885242,24.85
1749761885745,25.77
1749761886248,24.79
1749761886751,25.82
1749761887254,24.82
1749761887758,26.95
1749761888260,24.96
1749761888763,25.14
1749761889265,24.87
1749761889769,26.60
1749761890272,24.95
1749761890775,25.67
1749761891278,24.95
1749761891781,25.03
1749761892284,24.89
1749761892789,25.45
1749761893290,26.63
1749761893795,26.07
1749761894297,26.28
1749761894801,25.03
1749761895302,25.66
1749761895806,24.99
1749761896308,25.18
1749761896811,25.09
1749761897315,25.39
1749761897817,25.97
1749761898320,27.28
1749761898823,25.26
1749761899326,25.65
1749761899829,25.21
1749761900332,25.70
1749761900835,25.09
1749761901338,25.47
1749761901840,25.87
1749761902344,26.59
1749761902846,25.27
1749761903350,27.05
1749761903852,25.75
1749761904356,25.41
1749761904858,25.18
1749761905362,25.62
1749761905863,26.07
1749761906366,25.29
1749761906869,26.24
1749761907372,25.14
1749761907875,25.42
1749761908378,25.31
1749761908880,26.04
1749761909383,25.08
1749761909887,26.73
1749761910390,25.33
1749761910893,25.51
1749761911396,25.33
1749761911898,25.51
1749761912402,25.04
1749761912905,25.40
1749761913408,25.04
1749761913909,28.23
1749761914413,25.41
1749761914916,25.25
1749761915419,25.49
1749761915922,25.27
1749761916425,25.02
1749761916930,25.11
1749761917432,25.24
1749761917936,25.79
1749761918438,26.89
1749761918941,24.93
1749761919444,26.18
1749761919947,24.90
1749761920450,25.52
1749761920952,25.77
1749761921456,26.08
1749761921958,25.70
1749761922462,25.40
1749761922965,26.14
1749761923468,25.41
1749761923971,25.38
1749761924475,27.60
1749761924978,25.41
1749761925481,25.63
1749761925985,25.29
1749761926488,26.29
1749761926990,26.84
1749761927494,25.73
1749761927997,25.44
1749761928500,25.49
1749761929002,25.59
1749761929507,25.41
1749761930009,26.24
1749761930513,26.56
1749761931016,25.49
1749761931519,25.53
1749761932022,25.58
1749761932526,25.42
1749761933035,25.36
1749761933534,26.03
1749761934037,25.57
1749761934539,26.54
1749761935040,27.30
1749761935543,25.78
1749761936048,25.77
1749761936552,25.36
1749761937052,25.64
1749761937557,25.08
1749761938063,25.63
1749761938564,26.28
1749761939068,26.67
1749761939570,25.53
1749761940076,25.65
1749761940574,27.17
1749761941080,25.51
1749761941581,25.64
1749761942088,25.10
1749761942587,26.58
1749761943091,26.32
1749761943593,25.69
1749761944096,25.13
1749761944599,25.50
1749761945102,25.15
1749761945605,27.58
1749761946113,25.40
1749761946613,26.75
1749761947115,26.56
1749761947619,26.08
1749761948121,25.26
1749761948624,25.46
1749761949128,25.13
1749761949629,25.45
1749761950136,25.04
1749761950639,28.88
1749761951138,26.55
1749761951642,25.57
1749761952144,25.48
1749761952646,25.31
1749761953149,25.43
1749761953652,25.21
1749761954159,25.33
1749761954656,28.01
1749761955161,25.32
1749761955661,25.56
1749761956166,27.24
1749761956666,25.19
1749761957168,25.60
1749761957670,25.25
1749761958176,25.19
1749761958678,26.60
1749761959178,26.75
1749761959681,25.19
1749761960185,25.39
1749761960684,25.25
1749761961190,26.68
1749761961689,25.88
1749761962196,25.29
1749761962692,26.62
1749761963198,26.48
1749761963698,25.32
1749761964202,25.07
1749761964703,25.21
1749761965205,25.08
1749761965708,25.36
1749761966214,25.06
1749761966713,28.39
1749761967214,26.85
1749761967716,25.15
